Country,Year,CO2 emission (Tons),Population(2022),Area,% of World,Density(km2)
Brunei,2002,218965395,449002,,,78/km²
Brunei,2003,223435560,449002,,,78/km²
Brunei,2004,228308680,449002,,,78/km²
Brunei,2005,233178136,449002,,,78/km²
Brunei,2006,237915688,449002,,,78/km²
Brunei,2007,246225640,449002,,,78/km²
Brunei,2008,255217096,449002,,,78/km²
Brunei,2009,262962835,449002,,,78/km²
Brunei,2010,271023635,449002,,,78/km²
Brunei,2011,280568355,449002,,,78/km²
Brunei,2012,290061831,449002,,,78/km²
Brunei,2013,297690279,449002,,,78/km²
Brunei,2014,306615783,449002,,,78/km²
Brunei,2015,313570055,449002,,,78/km²
Brunei,2016,321114184,449002,,,78/km²
Brunei,2017,330666232,449002,,,78/km²
Brunei,2018,340258584,449002,,,78/km²
Brunei,2019,350216698,449002,,,78/km²
Brunei,2020,360375192,449002,,,78/km²
Cambodia,2002,32455671,16767842,181035,0.10%,93/km²
Cambodia,2003,34833607,16767842,181035,0.10%,93/km²
Cambodia,2004,37277495,16767842,181035,0.10%,93/km²
Cambodia,2005,40051143,16767842,181035,0.10%,93/km²
Cambodia,2006,43048295,16767842,181035,0.10%,93/km²
Cambodia,2007,46519437,16767842,181035,0.10%,93/km²
Cambodia,2008,50400809,16767842,181035,0.10%,93/km²
Cambodia,2009,54957895,16767842,181035,0.10%,93/km²
Cambodia,2010,60058259,16767842,181035,0.10%,93/km²
Cambodia,2011,65252349,16767842,181035,0.10%,93/km²
Cambodia,2012,70703789,16767842,181035,0.10%,93/km²
Cambodia,2013,76281895,16767842,181035,0.10%,93/km²
Cambodia,2014,82775697,16767842,181035,0.10%,93/km²
Cambodia,2015,91302231,16767842,181035,0.10%,93/km²
Cambodia,2016,101835559,16767842,181035,0.10%,93/km²
Cambodia,2017,114710465,16767842,181035,0.10%,93/km²
Cambodia,2018,127589078,16767842,181035,0.10%,93/km²
Cambodia,2019,142918135,16767842,181035,0.10%,93/km²
Cambodia,2020,158243753,16767842,181035,0.10%,93/km²
Indonesia,2002,5837180028,275501339,1904569,1.20%,145/km²
Indonesia,2003,6177621515,275501339,1904569,1.20%,145/km²
Indonesia,2004,6522015244,275501339,1904569,1.20%,145/km²
Indonesia,2005,6871003941,275501339,1904569,1.20%,145/km²
Indonesia,2006,7217709497,275501339,1904569,1.20%,145/km²
Indonesia,2007,7605964725,275501339,1904569,1.20%,145/km²
Indonesia,2008,7972258018,275501339,1904569,1.20%,145/km²
Indonesia,2009,8374215356,275501339,1904569,1.20%,145/km²
Indonesia,2010,8826146824,275501339,1904569,1.20%,145/km²
Indonesia,2011,9330908794,275501339,1904569,1.20%,145/km²
Indonesia,2012,9852436650,275501339,1904569,1.20%,145/km²
Indonesia,2013,10348511025,275501339,1904569,1.20%,145/km²
Indonesia,2014,10847484192,275501339,1904569,1.20%,145/km²
Indonesia,2015,11398959532,275501339,1904569,1.20%,145/km²
Indonesia,2016,11959805514,275501339,1904569,1.20%,145/km²
Indonesia,2017,12534981306,275501339,1904569,1.20%,145/km²
Indonesia,2018,13149865583,275501339,1904569,1.20%,145/km²
Indonesia,2019,13810459568,275501339,1904569,1.20%,145/km²
Indonesia,2020,14399959936,275501339,1904569,1.20%,145/km²
Laos,2002,17498128,7529475,236800,0.20%,32/km²
Laos,2003,18719092,7529475,236800,0.20%,32/km²
Laos,2004,20001576,7529475,236800,0.20%,32/km²
Laos,2005,21338588,7529475,236800,0.20%,32/km²
Laos,2006,23095923,7529475,236800,0.20%,32/km²
Laos,2007,24931306,7529475,236800,0.20%,32/km²
Laos,2008,27062647,7529475,236800,0.20%,32/km²
Laos,2009,29730103,7529475,236800,0.20%,32/km²
Laos,2010,32734616,7529475,236800,0.20%,32/km²
Laos,2011,35904720,7529475,236800,0.20%,32/km²
Laos,2012,39302702,7529475,236800,0.20%,32/km²
Laos,2013,43563861,7529475,236800,0.20%,32/km²
Laos,2014,48013554,7529475,236800,0.20%,32/km²
Laos,2015,57245979,7529475,236800,0.20%,32/km²
Laos,2016,72051636,7529475,236800,0.20%,32/km²
Laos,2017,90712937,7529475,236800,0.20%,32/km²
Laos,2018,110236954,7529475,236800,0.20%,32/km²
Laos,2019,144168606,7529475,236800,0.20%,32/km²
Laos,2020,178015424,7529475,236800,0.20%,32/km²
Malaysia,2002,2107144923,33938221,330803,0.20%,103/km²
Malaysia,2003,2263666255,33938221,330803,0.20%,103/km²
Malaysia,2004,2434768259,33938221,330803,0.20%,103/km²
Malaysia,2005,2616101059,33938221,330803,0.20%,103/km²
Malaysia,2006,2794886367,33938221,330803,0.20%,103/km²
Malaysia,2007,2977341730,33938221,330803,0.20%,103/km²
Malaysia,2008,3179326911,33938221,330803,0.20%,103/km²
Malaysia,2009,3380039855,33938221,330803,0.20%,103/km²
Malaysia,2010,3595975009,33938221,330803,0.20%,103/km²
