Macrotrends Data Download,,,
,,,
Malaysia Coal Usage/Consumption 1971-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1971,0,,
12/31/1972,0,0,
12/31/1973,0,0,
12/31/1974,0,0,
12/31/1975,0,0,
12/31/1976,0,0,
12/31/1977,0,0,
12/31/1978,0,0,
12/31/1979,0,0,
12/31/1980,0,0,
12/31/1981,0,0,
12/31/1982,0,0,
12/31/1983,0,0,
12/31/1984,0,0,
12/31/1985,0,0,
12/31/1986,0,0,
12/31/1987,0,0,
12/31/1988,1.328,1.33,
12/31/1989,10.0906,8.76,
12/31/1990,12.739,2.65,
12/31/1991,13.08,0.34,
12/31/1992,11.907,-1.17,
12/31/1993,9.1712,-2.74,
12/31/1994,8.5269,-0.64,
12/31/1995,7.5888,-0.94,
12/31/1996,6.6614,-0.93,
12/31/1997,5.4938,-1.17,
12/31/1998,5.7238,0.23,
12/31/1999,6.9903,1.27,
12/31/2000,11.1053,4.12,
12/31/2001,12.4852,1.38,
12/31/2002,15.1679,2.68,
12/31/2003,18.8711,3.7,
12/31/2004,23.3557,4.48,
12/31/2005,24.1808,0.83,
12/31/2006,23.0669,-1.11,
12/31/2007,27.698,4.63,
12/31/2008,26.7686,-0.93,
12/31/2009,28.7148,1.95,
12/31/2010,34.33,5.62,
12/31/2011,40.9847,6.65,
12/31/2012,41.5148,0.53,
12/31/2013,38.5781,-2.94,
12/31/2014,37.8568,-0.72,
12/31/2015,42.2813,4.42,
