Macrotrends Data Download,,,
,,,
Myanmar Coal Usage/Consumption 1971-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1971,3.9074,,
12/31/1972,3.9318,0.02,
12/31/1973,2.5579,-1.37,
12/31/1974,2.1277,-0.43,
12/31/1975,2.9652,0.84,
12/31/1976,1.4652,-1.5,
12/31/1977,1.5953,0.13,
12/31/1978,1.9308,0.34,
12/31/1979,1.791,-0.14,
12/31/1980,1.9502,0.16,
12/31/1981,1.8638,-0.09,
12/31/1982,1.9974,0.13,
12/31/1983,2.0299,0.03,
12/31/1984,1.5344,-0.5,
12/31/1985,1.9821,0.45,
12/31/1986,2.2717,0.29,
12/31/1987,1.7241,-0.55,
12/31/1988,1.6622,-0.06,
12/31/1989,1.4836,-0.18,
12/31/1990,1.6142,0.13,
12/31/1991,1.8678,0.25,
12/31/1992,0.1669,-1.7,
12/31/1993,0.1477,-0.02,
12/31/1994,0.1391,-0.01,
12/31/1995,0,-0.14,
12/31/1996,0,0,
12/31/1997,0,0,
12/31/1998,0,0,
12/31/1999,0,0,
12/31/2000,0,0,
12/31/2001,0,0,
12/31/2002,12.648,12.65,
12/31/2003,11.6866,-0.96,
12/31/2004,7.2205,-4.47,
12/31/2005,9.7906,2.57,
12/31/2006,12.7515,2.96,
12/31/2007,13.3615,0.61,
12/31/2008,9.2721,-4.09,
12/31/2009,6.7921,-2.48,
12/31/2010,8.8957,2.1,
12/31/2011,7.3368,-1.56,
12/31/2012,7.1841,-0.15,
12/31/2013,4.646,-2.54,
12/31/2014,2.0202,-2.63,
12/31/2015,1.7846,-0.24,
