Macrotrends Data Download,,,
,,,
Philippines Coal Usage/Consumption 1971-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1971,0.1312,,
12/31/1972,0.1154,-0.02,
12/31/1973,0.091,-0.02,
12/31/1974,0.115,0.02,
12/31/1975,0.1756,0.06,
12/31/1976,0.2378,0.06,
12/31/1977,0.7294,0.49,
12/31/1978,0.5147,-0.21,
12/31/1979,0.6656,0.15,
12/31/1980,1.0051,0.34,
12/31/1981,0.6888,-0.32,
12/31/1982,2.2313,1.54,
12/31/1983,2.6475,0.42,
12/31/1984,5.1133,2.47,
12/31/1985,14.7017,9.59,
12/31/1986,12.6013,-2.1,
12/31/1987,9.9196,-2.68,
12/31/1988,10.522,0.6,
12/31/1989,9.4357,-1.09,
12/31/1990,7.3461,-2.09,
12/31/1991,7.5714,0.23,
12/31/1992,6.9231,-0.65,
12/31/1993,7.5812,0.66,
12/31/1994,4.4239,-3.16,
12/31/1995,6.2831,1.86,
12/31/1996,13.2192,6.94,
12/31/1997,18.5014,5.28,
12/31/1998,22.5792,4.08,
12/31/1999,26.9912,4.41,
12/31/2000,36.7918,9.8,
12/31/2001,39.9341,3.14,
12/31/2002,33.2762,-6.66,
12/31/2003,28.2187,-5.06,
12/31/2004,28.9401,0.72,
12/31/2005,26.9716,-1.97,
12/31/2006,26.9341,-0.04,
12/31/2007,28.2448,1.31,
12/31/2008,25.894,-2.35,
12/31/2009,26.6081,0.71,
12/31/2010,34.3967,7.79,
12/31/2011,36.6341,2.24,
12/31/2012,38.7611,2.13,
12/31/2013,42.6235,3.86,
12/31/2014,42.7817,0.16,
12/31/2015,44.5148,1.73,
