Macrotrends Data Download,,,
,,,
Singapore Coal Usage/Consumption 1971-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1971,0,,
12/31/1972,0,0,
12/31/1973,0,0,
12/31/1974,0,0,
12/31/1975,0,0,
12/31/1976,0,0,
12/31/1977,0,0,
12/31/1978,0,0,
12/31/1979,0,0,
12/31/1980,0,0,
12/31/1981,0,0,
12/31/1982,0,0,
12/31/1983,0,0,
12/31/1984,0,0,
12/31/1985,0,0,
12/31/1986,0,0,
12/31/1987,0,0,
12/31/1988,0,0,
12/31/1989,0,0,
12/31/1990,0,0,
12/31/1991,0,0,
12/31/1992,0,0,
12/31/1993,0,0,
12/31/1994,0,0,
12/31/1995,0,0,
12/31/1996,0,0,
12/31/1997,0,0,
12/31/1998,0,0,
12/31/1999,0,0,
12/31/2000,0,0,
12/31/2001,0,0,
12/31/2002,0,0,
12/31/2003,0,0,
12/31/2004,0,0,
12/31/2005,0,0,
12/31/2006,0,0,
12/31/2007,0,0,
12/31/2008,0,0,
12/31/2009,0,0,
12/31/2010,0,0,
12/31/2011,0,0,
12/31/2012,0.0128,0.01,
12/31/2013,0.6442,0.63,
12/31/2014,1.0976,0.45,
12/31/2015,1.1961,0.1,
