Macrotrends Data Download,,,
,,,
Thailand Coal Usage/Consumption 1971-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1971,6.0988,,
12/31/1972,4.4854,-1.61,
12/31/1973,3.5002,-0.99,
12/31/1974,4.6653,1.17,
12/31/1975,4.0521,-0.61,
12/31/1976,3.9385,-0.11,
12/31/1977,3.0872,-0.85,
12/31/1978,3.8696,0.78,
12/31/1979,9.4696,5.6,
12/31/1980,9.774,0.3,
12/31/1981,10.8986,1.12,
12/31/1982,11.1357,0.24,
12/31/1983,9.5672,-1.57,
12/31/1984,11.0207,1.45,
12/31/1985,23.0259,12.01,
12/31/1986,22.434,-0.59,
12/31/1987,23.3771,0.94,
12/31/1988,20.9463,-2.43,
12/31/1989,21.0635,0.12,
12/31/1990,25.0204,3.96,
12/31/1991,25.9779,0.96,
12/31/1992,25.9466,-0.03,
12/31/1993,21.2973,-4.65,
12/31/1994,19.8533,-1.44,
12/31/1995,18.4559,-1.4,
12/31/1996,19.7102,1.25,
12/31/1997,20.5436,0.83,
12/31/1998,18.4827,-2.06,
12/31/1999,18.1966,-0.29,
12/31/2000,18.518,0.32,
12/31/2001,19.3986,0.88,
12/31/2002,17.2796,-2.12,
12/31/2003,16.5571,-0.72,
12/31/2004,16.3887,-0.17,
12/31/2005,15.5238,-0.86,
12/31/2006,18.2418,2.72,
12/31/2007,21.4594,3.22,
12/31/2008,21.5512,0.09,
12/31/2009,20.2394,-1.31,
12/31/2010,18.8356,-1.4,
12/31/2011,22.3147,3.48,
12/31/2012,19.996,-2.32,
12/31/2013,22.0794,2.08,
12/31/2014,21.7784,-0.3,
12/31/2015,19.4543,-2.32,
