Macrotrends Data Download,,,
,,,
Vietnam Coal Usage/Consumption 1971-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1971,73.3043,,
12/31/1972,80.8182,7.51,
12/31/1973,82.1277,1.31,
12/31/1974,79.7101,-2.42,
12/31/1975,79.4069,-0.3,
12/31/1976,81.1633,1.76,
12/31/1977,82.7239,1.56,
12/31/1978,77.7778,-4.95,
12/31/1979,72.2222,-5.56,
12/31/1980,39.9269,-32.3,
12/31/1981,38.3595,-1.57,
12/31/1982,38.1352,-0.22,
12/31/1983,39.6136,1.48,
12/31/1984,42.1934,2.58,
12/31/1985,45.4528,3.26,
12/31/1986,48.0731,2.62,
12/31/1987,50.6528,2.58,
12/31/1988,50.7001,0.05,
12/31/1989,35.0206,-15.68,
12/31/1990,23.0503,-11.97,
12/31/1991,14.8317,-8.22,
12/31/1992,8.7687,-6.06,
12/31/1993,5.9745,-2.79,
12/31/1994,8.7158,2.74,
12/31/1995,13.8108,5.1,
12/31/1996,14.0227,0.21,
12/31/1997,17.3793,3.36,
12/31/1998,16.0457,-1.33,
12/31/1999,12.3732,-3.67,
12/31/2000,11.803,-0.57,
12/31/2001,10.5136,-1.29,
12/31/2002,13.6272,3.11,
12/31/2003,17.6836,4.06,
12/31/2004,15.523,-2.16,
12/31/2005,22.6908,7.17,
12/31/2006,23.3316,0.64,
12/31/2007,21.8183,-1.51,
12/31/2008,20.0597,-1.76,
12/31/2009,18.009,-2.05,
12/31/2010,20.7475,2.74,
12/31/2011,21.5514,0.8,
12/31/2012,21.1366,-0.41,
12/31/2013,24.5126,3.38,
12/31/2014,23.2451,-1.27,
12/31/2015,29.5714,6.33,
